frag_id,ion_type,series,frag_len,charge,H2O,NH3,CO,CO2,2H2O,2NH3,variant_type,variant_suffix,variant_pass_count,%H,%2H,obs_idx,obs_mz,obs_int,obs_rel_int,anchor_theory_mz,anchor_ppm,css,rawcos,cos0,w0,w_plusH,w_plus2H,w_minusH,w_minus2H,label
c18,c,c,18,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,36767,2012.2710699761628,106.7,0.0004605092792403971,2012.257176,6.904672190252165,0.9998918089885143,0.999891808988514,0.999891808988514,1.0,0.0,0.0,0.0,0.0,c18^1+ | 6.9 ppm | css=1.000
c9,c,c,9,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,17334,998.6865606675093,192.1,0.0008290893396633577,998.683311,3.253951952036115,0.9995182085028432,0.9997004515484392,0.9997004515484392,1.0,0.0,0.0,0.0,0.0,c9^1+ | 3.3 ppm | css=1.000
z-dot1-NH3,z-dot,z,1,1,0,1,0,0,0,0,nonmodified,,1,100.0,0.0,83,140.08245736303593,11.49,4.95899870522227e-05,140.082387,0.5022975223637379,0.9993865340926665,0.7039439794962781,0.9968940307280626,0.0,0.0,0.0,1.0,0.0,z-dot1-NH3^1+ | 0.5 ppm | css=0.999 | %H=100 | %2H=0 | -mix
z-dot19-2H2O,z-dot,z,19,1,0,0,0,0,1,0,nonmodified,,1,100.0,0.0,36736,2011.2516666478562,92.37,0.0003986620630125162,2011.19691,27.225900946847506,0.9990610818094325,0.5720944438746733,0.9390596608879315,0.0,0.0,0.0,1.0,0.0,z-dot19-2H2O^1+ | 27.2 ppm | css=0.999 | %H=100 | %2H=0 | -mix
y25,y,y,25,3,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,7294,911.9015773183719,1412.0,0.006094087181700475,911.898412,3.471130479262744,0.9988543537668894,0.9990202926125011,0.9990202926125011,1.0,0.0,0.0,0.0,0.0,y25^3+ | 3.5 ppm | css=0.999
c5,c,c,5,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,2142,572.3919688344961,537.7,0.002320673284419508,572.387857,7.183650816040262,0.9987719073464566,0.9998779198207742,0.9998779198207742,1.0,0.0,0.0,0.0,0.0,c5^1+ | 7.2 ppm | css=0.999
c4,c,c,4,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,1380,471.3424389122442,379.7,0.00163875701337937,471.340178,4.796773858298865,0.9985563294599802,0.9988496873570635,0.9988496873570635,1.0,0.0,0.0,0.0,0.0,c4^1+ | 4.8 ppm | css=0.999
c16,c,c,16,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,34852,1827.1482655583832,109.8,0.0004738886491152352,1827.14075,4.113289237924027,0.9983648026162684,0.9983648026162683,0.9983648026162683,1.0,0.0,0.0,0.0,0.0,c16^1+ | 4.1 ppm | css=0.998
z-dot12,z-dot,z,12,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,23037,1235.7791347642915,157.6,0.0006801899007337073,1235.770842,6.710600387820115,0.9981935504995116,0.9982291861673365,0.9982291861673365,1.0,0.0,0.0,0.0,0.0,z-dot12^1+ | 6.7 ppm | css=0.998
z-dot15,z-dot,z,15,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,32940,1648.9793838448538,135.7,0.0005856711264566249,1648.977147,1.3565044596515994,0.9979087133710278,0.9981389837943782,0.9981389837943782,1.0,0.0,0.0,0.0,0.0,z-dot15^1+ | 1.4 ppm | css=0.998
c10,c,c,10,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,20045,1111.767929873185,150.5,0.0006495468277945619,1111.767375,0.4990910847133775,0.9978764326695179,0.9982307028304956,0.9982307028304956,1.0,0.0,0.0,0.0,0.0,c10^1+ | 0.5 ppm | css=0.998
z-dot25,z-dot,z,25,2,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,26153,1359.3357381711442,1022.0,0.004410876132930514,1359.334618,0.8240584247860757,0.9977569722675622,0.9978644271132658,0.9978644271132658,1.0,0.0,0.0,0.0,0.0,z-dot25^2+ | 0.8 ppm | css=0.998
c13,c,c,13,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,31279,1512.938039675874,173.2,0.0007475183426845057,1512.937293,0.49352731111340986,0.9976223809345154,0.9977042616956869,0.9977042616956869,1.0,0.0,0.0,0.0,0.0,c13^1+ | 0.5 ppm | css=0.998
c8,c,c,8,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,5628,870.5893424357497,220.6,0.0009520932239965472,870.588348,1.1422571321886916,0.9975147461397315,0.9977228469238998,0.9977228469238998,1.0,0.0,0.0,0.0,0.0,c8^1+ | 1.1 ppm | css=0.998
z-dot14,z-dot,z,14,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,30633,1462.9057763227443,196.0,0.0008459214501510574,1462.897834,5.429171169417854,0.9974498376076006,0.998148863819537,0.998148863819537,1.0,0.0,0.0,0.0,0.0,z-dot14^1+ | 5.4 ppm | css=0.997
c8-2NH3,c,c,8,1,0,0,0,0,0,1,nonmodified,,1,0.0,0.0,4981,836.5207312032388,98.4,0.0004246870953819595,836.535249,-17.35467426931717,0.9972241152465658,0.9974055838404328,0.9974055838404328,1.0,0.0,0.0,0.0,0.0,c8-2NH3^1+ | -17.4 ppm | css=0.997
c3,c,c,3,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,743,358.2554696882846,39.63,0.00017104013810962453,358.256114,-1.7984667678411497,0.9971886990136614,0.997188699013661,0.997188699013661,1.0,0.0,0.0,0.0,0.0,c3^1+ | -1.8 ppm | css=0.997
z-dot24,z-dot,z,24,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,41380,2561.557163370996,45.63,0.00019693569270608547,2561.560849,-1.4388215705976146,0.9957646791410285,0.9953993553613929,0.9953993553613929,1.0,0.0,0.0,0.0,0.0,z-dot24^1+ | -1.4 ppm | css=0.996
c2,c,c,2,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,441,287.218437755513,258.9,0.0011173931808372895,287.219001,-1.9610279440099299,0.9953965201765687,0.9953965201765684,0.9953965201765684,1.0,0.0,0.0,0.0,0.0,c2^1+ | -2.0 ppm | css=0.995
c22,c,c,22,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,39957,2392.5120114460415,98.91,0.0004268882175226586,2392.499532,5.216070421221888,0.994674732117961,0.9947115610404981,0.9947115610404981,1.0,0.0,0.0,0.0,0.0,c22^1+ | 5.2 ppm | css=0.995
y21,y,y,21,2,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,20847,1146.7074439491553,140.7,0.000607250755287009,1146.708997,-1.3543548090582156,0.994667416845151,0.9955334926680763,0.9955334926680763,1.0,0.0,0.0,0.0,0.0,y21^2+ | -1.4 ppm | css=0.995
c11,c,c,11,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,22124,1198.802114035952,242.6,0.0010470435908502373,1198.799403,2.261459210921123,0.9942692565257754,0.9948166946067543,0.9948166946067543,1.0,0.0,0.0,0.0,0.0,c11^1+ | 2.3 ppm | css=0.994
c14,c,c,14,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,32377,1612.0157631602651,151.9,0.0006555891238670695,1612.005707,6.238290733975764,0.9932081663693488,0.9936056094384184,0.9936056094384184,1.0,0.0,0.0,0.0,0.0,c14^1+ | 6.2 ppm | css=0.993
c7,c,c,7,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,4410,799.554110508855,159.3,0.0006875269745360381,799.551234,3.5976541998863825,0.993179283805232,0.9943275632799834,0.9943275632799834,1.0,0.0,0.0,0.0,0.0,c7^1+ | 3.6 ppm | css=0.993
z-dot17,z-dot,z,17,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,35151,1850.11644054846,79.54,0.00034328873543375054,1850.096539,10.757032425436808,0.9930775566680533,0.9930775566680531,0.9930775566680531,1.0,0.0,0.0,0.0,0.0,z-dot17^1+ | 10.8 ppm | css=0.993
c25,c,c,25,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,42337,2690.6725849271443,83.51,0.00036042296072507556,2690.663637,3.3255465384517175,0.9930445711948392,0.9924874938769856,0.9924874938769856,1.0,0.0,0.0,0.0,0.0,c25^1+ | 3.3 ppm | css=0.993
y21,y,y,21,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,39029,2292.4095846160394,73.49,0.00031717738454898573,2292.410717,-0.4939708021762659,0.9927526188219716,0.9926278455890473,0.9926278455890473,1.0,0.0,0.0,0.0,0.0,y21^1+ | -0.5 ppm | css=0.993
c6,c,c,6,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,3198,700.4876870613582,159.5,0.0006883901596892533,700.48282,6.94815235904634,0.9919142576010997,0.9963930794662174,0.9963930794662174,1.0,0.0,0.0,0.0,0.0,c6^1+ | 6.9 ppm | css=0.992
z-dot18,z-dot,z,18,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,36426,1978.199458733857,79.94,0.00034501510574018126,1978.191502,4.0222262855012545,0.9913372829521635,0.9913372829521637,0.9913372829521637,1.0,0.0,0.0,0.0,0.0,z-dot18^1+ | 4.0 ppm | css=0.991
z-dot13,z-dot,z,13,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,25300,1334.8435582052584,170.0,0.00073370738023306,1334.839256,3.2230137367601555,0.9901286531616416,0.9902530515507342,0.9902530515507342,1.0,0.0,0.0,0.0,0.0,z-dot13^1+ | 3.2 ppm | css=0.990
c17,c,c,17,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,35592,1884.1722517391793,192.8,0.0008321104876996117,1884.162213,5.32795908438499,0.9892800880240804,0.9892800880240805,0.9892800880240805,1.0,0.0,0.0,0.0,0.0,c17^1+ | 5.3 ppm | css=0.989
c15,c,c,15,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,33842,1726.0945356224183,89.51,0.0003863185153215365,1726.093071,0.8485187982805096,0.9891380378526468,0.9891380378526466,0.9891380378526466,1.0,0.0,0.0,0.0,0.0,c15^1+ | 0.8 ppm | css=0.989
c21,c,c,21,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,38803,2279.41854220086,120.3,0.0005192058696590418,2279.415468,1.3486794763771097,0.98889012811397,0.9889104799525535,0.9889104799525535,1.0,0.0,0.0,0.0,0.0,c21^1+ | 1.3 ppm | css=0.989
z-dot22,z-dot,z,22,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,39755,2377.4525622776055,80.09,0.00034566249460509283,2377.439671,5.422336374135767,0.9888295108797052,0.9887976518885823,0.9887976518885823,1.0,0.0,0.0,0.0,0.0,z-dot22^1+ | 5.4 ppm | css=0.989
y3,y,y,3,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,761,360.2175760944754,3.314,1.4302977988778594e-05,360.218278,-1.948556104582679,0.987292211815648,0.9872922118156479,0.9872922118156479,1.0,0.0,0.0,0.0,0.0,y3^1+ | -1.9 ppm | css=0.987
y7,y,y,7,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,3658,739.4591143013467,53.8,0.00023219680621493308,739.457333,2.4089305322985712,0.9871398949730753,0.9996255624397752,0.9996255624397752,1.0,0.0,0.0,0.0,0.0,y7^1+ | 2.4 ppm | css=0.987
c25,c,c,25,2,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,25675,1345.837794100953,190.7,0.0008230470435908501,1345.835457,1.7365428596576549,0.9855108126083528,0.9930584371216553,0.9930584371216553,1.0,0.0,0.0,0.0,0.0,c25^2+ | 1.7 ppm | css=0.986
z-dot15-CO2,z-dot,z,15,2,0,0,0,1,0,0,nonmodified,,1,0.0,100.0,4470,801.9814184339082,5.057,2.1825636599050498e-05,801.990021,-10.726525101964114,0.9852972444967044,0.5750462908970849,0.644364805419728,0.0,0.0,0.0,0.0,1.0,z-dot15-CO2^2+ | -10.7 ppm | css=0.985 | %H=0 | %2H=100 | -mix
c23,c,c,23,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,40934,2505.6121807130985,38.54,0.00016633577902460078,2505.583596,11.408405269010645,0.9843313329288945,0.9843429491841966,0.9843429491841966,1.0,0.0,0.0,0.0,0.0,c23^1+ | 11.4 ppm | css=0.984
c24,c,c,24,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,41950,2633.6508987538577,30.4,0.00013120414328873542,2633.642173,3.313188840540851,0.9823759153142896,0.9823759153142894,0.9823759153142894,1.0,0.0,0.0,0.0,0.0,c24^1+ | 3.3 ppm | css=0.982
